Player,YRS,is_retained,year,Cap_Pct
wilson chandler,1,0,2019,0.0148
jose barea,1,1,2019,0.0148
jared dudley,1,0,2019,0.0148
kyle korver,1,0,2019,0.0148
thabo sefolosha,1,0,2019,0.0148
anthony tolliver,1,0,2019,0.0017
jeff green,1,0,2019,0.004
dwight howard,1,0,2019,0.0148
vince carter,1,1,2019,0.0148
udonis haslem,1,1,2019,0.0148
tyson chandler,1,0,2019,0.0148
rondae hollisjefferson,1,0,2019,0.0229
patrick patterson,1,0,2019,0.0148
alec burks,1,0,2019,0.0148
troy daniels,1,0,2019,0.0034999999999999
michael carterwilliams,1,1,2019,0.0148
kyle oquinn,1,0,2019,0.0148
glenn robinson,1,0,2019,0.0148
emmanuel mudiay,1,0,2019,0.0148
raul neto,1,0,2019,0.0148
jakarr sampson,1,0,2019,0.0148
timothe luwawucabarrot,1,0,2019,0.006
cheick diallo,1,0,2019,0.0154
pj dozier,1,0,2019,0.0017
brad wanamaker,1,1,2019,0.0132
theo pinson,1,1,2019,0.0132
shaquille harrison,1,1,2019,0.0081999999999999
anthony davis,5,1,2020,0.3
brandon ingram,5,1,2020,0.25
gordon hayward,4,0,2020,0.2611
fred vanvleet,4,1,2020,0.1946999999999999
davis bertans,5,1,2020,0.1374
joe harris,4,1,2020,0.1473
bogdan bogdanovic,4,0,2020,0.1649
marcus morris,4,1,2020,0.1364
danilo gallinari,3,0,2020,0.1787
jerami grant,3,0,2020,0.1745
malik beasley,4,1,2020,0.123
jordan clarkson,4,1,2020,0.1054
christian wood,3,0,2020,0.1193
kentavious caldwellpope,3,1,2020,0.1106
deanthony melton,4,1,2020,0.0877
jae crowder,3,0,2020,0.0848
derrick favors,3,0,2020,0.0848
dario saric,3,1,2020,0.0848
jakob poeltl,3,1,2020,0.0742
mason plumlee,3,0,2020,0.0733
juancho hernangomez,3,1,2020,0.0595
dj augustin,3,0,2020,0.0611
rodney hood,2,1,2020,0.0921
tristan thompson,2,0,2020,0.0848
serge ibaka,2,0,2020,0.0848
derrick jones,2,0,2020,0.0848
montrezl harrell,2,0,2020,0.0848
justin holiday,3,1,2020,0.0524
goran dragic,1,1,2020,0.1649
pat connaughton,3,1,2020,0.0452
rajon rondo,2,0,2020,0.0756
jamychal green,2,0,2020,0.066
aron baynes,2,0,2020,0.0641
chris boucher,2,1,2020,0.0596
jevon carter,3,1,2020,0.036
kris dunn,2,0,2020,0.0437
paul millsap,1,1,2020,0.0916
austin rivers,3,0,2020,0.0017
josh jackson,2,0,2020,0.0437
trey burke,3,1,2020,0.0275
john konchar,4,1,2020,0.0192
willie cauleystein,2,1,2020,0.0375999999999999
bobby portis,2,0,2020,0.0332
robin lopez,1,0,2020,0.0669
michael carterwilliams,2,1,2020,0.0302
kenrich williams,3,0,2020,0.0183
alec burks,1,0,2020,0.055
jontay porter,3,1,2020,0.0174
avery bradley,1,0,2020,0.0516
chimezie metu,3,0,2020,0.0064
drew eubanks,3,1,2020,0.0148
marc gasol,2,0,2020,0.0235
nerlens noel,1,0,2020,0.0458
bryn forbes,2,0,2020,0.0214
garrett temple,1,0,2020,0.0437
elfrid payton,1,1,2020,0.0437
jahlil okafor,2,0,2020,0.0173
damian jones,2,0,2020,0.0022
deandre bembry,2,0,2020,0.0159
maurice harkless,1,0,2020,0.0332
wesley matthews,1,0,2020,0.0332
dwayne bacon,2,0,2020,0.0154
bismack biyombo,1,1,2020,0.0321
wenyen gabriel,2,0,2020,0.0148
james ennis,1,1,2020,0.0302
oshae brissett,2,1,2020,0.0069
kelan martin,2,0,2020,0.0132
patrick patterson,1,1,2020,0.0282
nicolas batum,1,0,2020,0.0148
jeff teague,1,0,2020,0.0046999999999999
wayne ellington,1,0,2020,0.0148
jared dudley,1,1,2020,0.0148
udonis haslem,1,1,2020,0.0148
dwight howard,1,0,2020,0.0148
carmelo anthony,1,1,2020,0.0148
jeff green,1,0,2020,0.0148
reggie jackson,1,1,2020,0.0148
markieff morris,1,1,2020,0.0148
hassan whiteside,1,0,2020,0.0148
kent bazemore,1,0,2020,0.0148
alex len,1,0,2020,0.0116
solomon hill,1,0,2020,0.0148
matthew dellavedova,1,1,2020,0.0148
langston galloway,1,0,2020,0.0148
tyler johnson,1,1,2020,0.0148
frank kaminsky,1,0,2020,0.0148
raul neto,1,0,2020,0.0148
jakarr sampson,1,1,2020,0.0148
willy hernangomez,1,0,2020,0.0148
harry giles,1,0,2020,0.0148
torrey craig,1,0,2020,0.0148
daquan jeffries,1,1,2020,0.0132
kawhi leonard,4,1,2021,0.35
john collins,5,1,2021,0.2046
chris paul,4,1,2021,0.2739999999999999
jarrett allen,5,1,2021,0.1779
norman powell,5,1,2021,0.138
duncan robinson,5,1,2021,0.1392
kyle lowry,3,0,2021,0.24
demar derozan,3,0,2021,0.2312999999999999
lonzo ball,4,0,2021,0.1655
tim hardaway,4,1,2021,0.1895
evan fournier,4,0,2021,0.1525
mike conley,3,1,2021,0.1868
lauri markkanen,4,0,2021,0.1396
spencer dinwiddie,3,0,2021,0.1718
gary trent,3,1,2021,0.1442999999999999
devonte graham,4,0,2021,0.0978999999999999
richaun holmes,4,1,2021,0.0924
derrick rose,3,1,2021,0.1196
doug mcdermott,3,0,2021,0.1223
josh hart,3,1,2021,0.1067
kelly olynyk,3,0,2021,0.1085
alex caruso,4,0,2021,0.0765
daniel theis,4,0,2021,0.0737
tj mcconnell,4,1,2021,0.0667
talen hortontucker,3,1,2021,0.0844999999999999
reggie bullock,3,0,2021,0.0848
alec burks,3,1,2021,0.0848
nerlens noel,3,1,2021,0.0783
kelly oubre jr,2,0,2021,0.1067
zach collins,3,0,2021,0.0623
reggie jackson,2,1,2021,0.0924
khem birch,3,1,2021,0.0565
danny green,2,1,2021,0.089
cameron payne,3,1,2021,0.0578
rudy gay,3,0,2021,0.0524
kemba walker,2,0,2021,0.0776999999999999
jamychal green,2,1,2021,0.0729
garrett temple,3,0,2021,0.0437
david nwaba,3,1,2021,0.0414
pj tucker,2,0,2021,0.0623
jarred vanderbilt,3,1,2021,0.036
patty mills,2,0,2021,0.0524
hamidou diallo,2,1,2021,0.0463
kendrick nunn,2,0,2021,0.0445
taj gibson,2,1,2021,0.0437
cory joseph,2,1,2021,0.0437
torrey craig,2,0,2021,0.0434
ishmael smith,2,0,2021,0.04
maurice harkless,2,1,2021,0.0387
jeff green,2,0,2021,0.04
bobby portis,2,1,2021,0.0387
justise winslow,2,0,2021,0.0347
george hill,2,0,2021,0.0356
terence davis,2,1,2021,0.0356
didi louzada,4,1,2021,0.0159
alex len,2,0,2021,0.0332
willy hernangomez,3,1,2021,0.0207
boban marjanovic,2,1,2021,0.0311
mike muscala,2,1,2021,0.0311
georges niang,2,0,2021,0.0294
nicolas batum,2,1,2021,0.0282
jordan mclaughlin,3,1,2021,0.0178
frank jackson,2,1,2021,0.0266999999999999
sterling brown,2,0,2021,0.0266999999999999
dennis schröder,1,0,2021,0.0524
saben lee,3,1,2021,0.0132
trey lyles,2,0,2021,0.0222
louis williams,1,1,2021,0.0445
javale mcgee,1,0,2021,0.0445
robin lopez,1,0,2021,0.0445
bruce brown,1,1,2021,0.0421
bryn forbes,1,0,2021,0.04
gorgui dieng,1,0,2021,0.0356
frank ntilikina,2,0,2021,0.0159
tony bradley,2,0,2021,0.0159
sviatoslav mykhailiuk,2,0,2021,0.0154
thanasis antetokounmpo,2,1,2021,0.0154
keita batesdiop,2,1,2021,0.0154
moritz wagner,2,1,2021,0.0154
javonte green,2,1,2021,0.0148
gabe vincent,2,1,2021,0.0148
max strus,2,1,2021,0.0148
omer yurtseven,2,1,2021,0.0132
will barton,2,1,2021,0.139
deandre jordan,1,0,2021,0.0033
udonis haslem,1,1,2021,0.0148
dwight howard,1,0,2021,0.0148
avery bradley,1,0,2021,0.0148
rajon rondo,1,0,2021,0.0148
paul millsap,1,0,2021,0.0148
carmelo anthony,1,0,2021,0.0148
markieff morris,1,0,2021,0.0148
wayne ellington,1,0,2021,0.0148
blake griffin,1,1,2021,0.0148
