Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,Type,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
mirza teletoviä,28.0,BRK,SF,12.0,0.0,18.3,3.0,6.8,0.439,1.6,4.7,0.339,1.4,2.2,0.654,0.555,0.7,1.0,0.667,1.3,2.1,3.3,0.3,0.4,0.2,0.4,1.2,8.3,2014,Playoffs,16.8,0.567,0.683,0.146,8.2,15.1,11.5,2.4,1.3,0.9,5.4,20.5,0.4,0.1,0.5,0.115,3.9,-1.8,2.1,0.2
tiago splitter,29.0,SAS,C,23.0,18.0,22.4,2.7,4.3,0.61,0.0,0.0,0.0,2.7,4.3,0.616,0.61,2.2,3.1,0.718,2.0,4.1,6.1,2.0,0.7,0.5,0.8,2.3,7.5,2014,Playoffs,19.1,0.659,0.01,0.71,10.5,21.0,15.9,12.6,1.6,1.7,12.1,13.4,1.7,0.9,2.6,0.239,2.0,3.1,5.1,0.9
patty mills,25.0,SAS,PG,23.0,0.0,15.3,2.7,6.1,0.447,1.4,3.4,0.405,1.3,2.7,0.5,0.56,0.4,0.6,0.769,0.1,1.4,1.5,1.4,0.7,0.0,0.6,1.3,7.3,2014,Playoffs,16.2,0.573,0.56,0.092,1.0,10.4,5.8,14.6,2.5,0.2,8.7,21.3,0.5,0.5,1.1,0.146,1.7,1.8,3.5,0.5
kevin garnett,37.0,BRK,C,12.0,12.0,20.8,2.8,5.3,0.524,0.0,0.2,0.0,2.8,5.1,0.541,0.524,1.4,1.9,0.739,1.6,4.8,6.3,1.3,0.8,0.4,1.1,2.1,6.9,2014,Playoffs,17.2,0.568,0.032,0.365,9.1,30.3,19.2,10.8,2.0,1.9,15.1,16.8,0.3,0.3,0.6,0.123,0.5,1.8,2.3,0.3
andray blatche,27.0,BRK,PF,12.0,0.0,14.3,2.2,4.8,0.448,0.0,0.2,0.0,2.2,4.7,0.464,0.448,2.1,2.5,0.833,2.1,2.9,5.0,0.3,0.5,0.2,0.8,1.8,6.4,2014,Playoffs,19.7,0.541,0.034,0.517,17.5,27.0,22.0,4.1,1.9,1.1,12.3,23.1,0.3,0.2,0.5,0.141,0.3,-1.5,-1.2,0.0
mario chalmers,27.0,MIA,PG,20.0,19.0,26.8,2.4,5.6,0.423,0.8,2.2,0.349,1.6,3.4,0.471,0.491,1.0,1.3,0.76,0.1,2.2,2.3,3.6,1.0,0.3,1.5,2.4,6.4,2014,Playoffs,10.2,0.525,0.387,0.225,0.5,10.6,5.7,20.7,2.0,1.1,19.7,14.5,0.1,0.4,0.5,0.044,-1.5,-0.3,-1.8,0.0
caron butler,33.0,OKC,SF,18.0,2.0,23.3,1.9,6.0,0.324,1.2,3.3,0.356,0.8,2.7,0.286,0.421,1.2,1.6,0.786,0.6,2.6,3.2,0.8,0.3,0.1,0.6,1.8,6.3,2014,Playoffs,6.8,0.47,0.546,0.259,3.1,12.1,7.8,5.4,0.6,0.4,8.4,14.3,0.0,0.2,0.3,0.03,-1.7,-1.0,-2.7,-0.1
luis scola,33.0,IND,PF,18.0,0.0,13.5,2.7,5.8,0.457,0.1,0.2,0.333,2.6,5.7,0.461,0.462,0.7,1.2,0.591,0.6,1.7,2.3,0.5,0.3,0.2,0.4,1.6,6.1,2014,Playoffs,13.1,0.48,0.029,0.21,5.6,15.1,10.4,7.4,1.3,1.1,5.8,24.4,-0.1,0.3,0.3,0.054,-2.1,-0.6,-2.7,0.0
alan anderson,31.0,BRK,SF,12.0,2.0,21.8,2.1,5.2,0.403,0.8,2.6,0.29,1.3,2.6,0.516,0.476,1.0,1.5,0.667,0.8,1.8,2.7,1.3,0.8,0.0,0.8,2.7,5.9,2014,Playoffs,9.3,0.508,0.5,0.29,4.6,11.2,7.7,9.1,2.1,0.0,12.5,15.0,0.1,0.1,0.2,0.044,-2.4,0.6,-1.8,0.0
marcus thornton,26.0,BRK,SG,10.0,0.0,12.4,2.1,5.4,0.389,0.5,2.1,0.238,1.6,3.3,0.485,0.435,1.2,1.8,0.667,0.7,1.2,1.9,0.1,0.2,0.1,0.2,0.4,5.9,2014,Playoffs,14.2,0.476,0.389,0.333,6.8,12.8,9.7,1.5,0.9,0.8,3.1,25.2,0.1,0.0,0.1,0.038,0.9,-2.9,-2.0,0.0
cj watson,29.0,IND,PG,19.0,0.0,18.0,1.9,4.7,0.411,0.8,2.1,0.4,1.1,2.6,0.42,0.5,0.9,1.5,0.607,0.2,1.9,2.1,0.9,0.8,0.1,0.7,1.5,5.6,2014,Playoffs,10.2,0.523,0.444,0.311,1.1,12.8,7.1,8.9,2.5,0.3,12.0,16.6,0.0,0.5,0.5,0.068,-3.2,1.6,-1.6,0.0
marco belinelli,27.0,SAS,SF,23.0,0.0,15.5,1.9,4.3,0.444,0.7,1.7,0.421,1.2,2.7,0.459,0.525,0.9,1.0,0.955,0.2,2.1,2.3,0.8,0.1,0.0,0.5,1.0,5.4,2014,Playoffs,11.0,0.575,0.384,0.222,1.4,15.4,8.6,7.6,0.4,0.0,9.9,15.7,0.4,0.4,0.8,0.107,-1.2,-0.1,-1.4,0.1
rashard lewis,34.0,MIA,SF,18.0,8.0,17.7,1.9,4.7,0.412,1.2,3.3,0.373,0.7,1.4,0.5,0.541,0.2,0.2,0.75,0.2,1.8,2.1,0.3,0.4,0.3,0.3,1.6,5.3,2014,Playoffs,9.9,0.547,0.694,0.047,1.7,13.3,7.7,2.5,1.2,1.8,5.4,14.7,0.1,0.2,0.3,0.052,-0.3,-0.6,-0.8,0.1
chris andersen,35.0,MIA,C,18.0,0.0,17.6,1.8,3.2,0.579,0.0,0.1,0.0,1.8,3.1,0.589,0.579,1.4,2.1,0.684,1.4,4.5,5.9,0.3,0.3,1.0,0.5,1.9,5.1,2014,Playoffs,17.7,0.624,0.018,0.667,11.3,32.9,22.5,2.5,0.9,5.3,10.9,13.3,0.7,0.5,1.2,0.175,1.0,0.1,1.2,0.3
norris cole,25.0,MIA,PG,20.0,0.0,20.2,1.6,3.9,0.41,0.8,2.0,0.375,0.9,1.9,0.447,0.506,0.7,0.8,0.867,0.1,1.1,1.1,1.8,0.5,0.1,1.0,1.7,4.6,2014,Playoffs,7.3,0.544,0.513,0.192,0.3,6.7,3.6,13.5,1.2,0.2,18.3,13.1,0.1,0.1,0.2,0.021,-2.2,-1.1,-3.2,-0.1
andre miller,37.0,WAS,SG,11.0,0.0,9.8,1.7,3.7,0.463,0.1,0.3,0.333,1.6,3.5,0.474,0.476,0.5,0.8,0.556,0.2,0.8,1.0,0.8,0.3,0.0,0.7,1.1,4.0,2014,Playoffs,9.5,0.489,0.073,0.22,2.1,9.7,5.9,15.6,1.5,0.0,15.1,23.2,-0.1,0.2,0.1,0.025,-3.2,-1.3,-4.5,-0.1
steven adams,20.0,OKC,C,18.0,0.0,18.4,1.7,2.5,0.689,0.0,0.0,0.0,1.7,2.5,0.689,0.689,0.4,1.3,0.348,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,2014,Playoffs,11.0,0.635,0.0,0.511,8.0,16.9,12.7,1.9,0.2,5.4,15.4,9.0,0.3,0.4,0.7,0.099,-1.7,1.5,-0.2,0.2
glen davis,28.0,LAC,PF,13.0,0.0,12.2,1.9,3.2,0.61,0.0,0.0,0.0,1.9,3.2,0.61,0.61,0.0,0.0,0.0,1.1,1.7,2.8,0.7,0.2,0.2,0.5,1.8,3.8,2014,Playoffs,13.1,0.61,0.0,0.0,9.8,16.6,13.1,8.6,0.9,1.6,14.6,13.2,0.2,0.1,0.3,0.097,-0.6,0.8,0.2,0.1
derek fisher,39.0,OKC,SG,19.0,0.0,15.7,1.2,3.8,0.315,0.6,2.2,0.293,0.6,1.7,0.344,0.397,0.8,0.8,1.0,0.3,1.4,1.7,0.8,0.7,0.0,0.3,1.4,3.8,2014,Playoffs,7.9,0.459,0.562,0.205,2.4,9.7,6.2,8.0,2.3,0.0,7.0,13.1,0.1,0.3,0.3,0.053,-2.3,1.0,-1.3,0.0
martell webster,27.0,WAS,SF,11.0,0.0,17.7,1.4,3.7,0.366,0.5,2.4,0.231,0.8,1.4,0.6,0.439,0.5,0.8,0.667,0.4,1.9,2.3,0.5,0.4,0.5,0.4,1.3,3.8,2014,Playoffs,7.2,0.467,0.634,0.22,2.4,12.5,7.4,4.0,1.1,2.1,8.2,11.9,0.0,0.3,0.3,0.077,-1.9,0.2,-1.8,0.0
thabo sefolosha,29.0,OKC,SG,15.0,13.0,15.7,1.5,3.7,0.418,0.4,1.5,0.261,1.1,2.1,0.531,0.473,0.3,0.3,0.8,0.5,1.6,2.1,0.7,0.7,0.0,0.5,0.7,3.7,2014,Playoffs,9.0,0.49,0.418,0.091,3.5,10.9,7.4,6.6,2.2,0.0,10.9,12.4,0.0,0.2,0.2,0.047,-1.3,1.2,-0.1,0.1
jeremy lamb,21.0,OKC,SG,11.0,0.0,9.1,1.5,3.8,0.405,0.2,1.3,0.143,1.4,2.5,0.536,0.429,0.4,0.4,1.0,0.4,1.1,1.5,0.6,0.6,0.1,0.3,0.7,3.6,2014,Playoffs,14.4,0.457,0.333,0.095,4.8,12.9,9.1,12.2,3.6,0.7,6.4,21.3,0.0,0.1,0.1,0.072,-0.1,1.2,1.2,0.1
