Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,Type,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
nikola mirotiä,27.0,MIL,PF,14.0,8.0,21.3,3.1,8.4,0.376,1.6,5.4,0.289,1.6,2.9,0.537,0.47,1.6,2.0,0.821,1.2,3.1,4.3,0.7,0.7,0.2,1.0,1.8,9.5,2019,Playoffs,11.9,0.514,0.65,0.239,5.9,14.0,10.1,5.0,1.6,0.9,9.8,20.7,0.0,0.5,0.5,0.086,-0.8,-0.1,-0.9,0.1
marc gasol,34.0,TOR,C,24.0,24.0,30.6,3.2,7.5,0.422,1.4,3.7,0.382,1.8,3.8,0.462,0.517,1.7,1.9,0.87,0.7,5.8,6.4,3.0,0.9,1.1,0.9,3.5,9.4,2019,Playoffs,13.5,0.564,0.494,0.256,2.4,20.7,11.6,14.7,1.4,3.5,9.5,13.7,0.9,1.3,2.3,0.149,0.3,3.1,3.4,1.0
serge ibaka,29.0,TOR,C,24.0,0.0,20.8,3.8,8.0,0.477,0.4,1.6,0.237,3.5,6.5,0.535,0.5,1.3,1.8,0.762,1.5,4.5,6.0,0.9,0.5,1.0,1.0,3.3,9.4,2019,Playoffs,15.1,0.532,0.197,0.218,7.7,23.9,15.8,7.4,1.1,4.5,10.6,21.5,0.2,1.0,1.2,0.113,-1.6,1.2,-0.4,0.2
will barton,28.0,DEN,SF,14.0,3.0,23.4,3.4,9.6,0.348,1.1,3.9,0.273,2.3,5.7,0.4,0.404,1.3,1.9,0.692,1.1,3.7,4.8,1.7,0.3,0.6,1.0,1.4,9.1,2019,Playoffs,10.2,0.434,0.407,0.193,4.7,16.9,10.7,11.0,0.6,2.2,8.7,21.9,-0.3,0.2,-0.1,-0.009,-1.9,-1.2,-3.1,-0.1
maurice harkless,25.0,POR,SF,16.0,16.0,24.3,3.3,6.8,0.477,0.4,1.8,0.25,2.8,5.1,0.556,0.509,1.4,2.3,0.639,1.8,3.1,4.9,1.4,1.1,1.0,1.1,3.5,8.4,2019,Playoffs,14.4,0.537,0.257,0.33,7.9,13.4,10.7,9.0,2.3,3.4,12.0,15.9,0.4,0.4,0.8,0.097,-0.6,2.2,1.6,0.3
malik beasley,22.0,DEN,SG,14.0,0.0,20.1,2.6,6.6,0.387,1.4,3.4,0.404,1.2,3.3,0.37,0.489,1.6,2.2,0.71,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1,2019,Playoffs,12.0,0.53,0.505,0.333,4.0,14.1,9.0,7.3,0.6,0.3,6.2,18.1,0.3,0.1,0.4,0.073,-0.8,-1.1,-1.9,0.0
fred vanvleet,24.0,TOR,PG,24.0,0.0,24.7,2.7,6.9,0.392,1.6,4.1,0.388,1.1,2.8,0.397,0.506,1.0,1.3,0.774,0.3,1.4,1.7,2.6,0.8,0.3,0.9,2.0,8.0,2019,Playoffs,10.4,0.534,0.59,0.187,1.3,6.2,3.7,15.7,1.5,1.0,10.5,15.4,0.4,0.7,1.1,0.085,-0.7,0.8,0.1,0.3
meyers leonard,26.0,POR,C,11.0,2.0,15.5,3.1,5.9,0.523,1.3,3.0,0.424,1.8,2.9,0.625,0.631,0.3,0.8,0.333,0.5,3.1,3.6,1.1,0.3,0.1,0.4,2.5,7.7,2019,Playoffs,17.4,0.616,0.508,0.138,3.7,21.3,12.5,11.8,0.9,0.5,5.5,18.7,0.4,0.1,0.6,0.156,2.3,0.2,2.5,0.2
james ennis,28.0,PHI,SF,11.0,0.0,21.1,2.8,5.8,0.484,0.8,2.9,0.281,2.0,2.9,0.688,0.555,1.1,1.7,0.632,1.5,2.4,3.8,1.1,0.4,0.3,0.9,2.8,7.5,2019,Playoffs,11.3,0.574,0.5,0.297,7.9,11.5,9.8,7.5,0.8,1.2,12.1,15.1,0.3,0.2,0.5,0.102,-0.7,0.5,-0.2,0.1
alfarouq aminu,28.0,POR,PF,16.0,16.0,24.9,2.4,6.8,0.349,0.9,3.2,0.294,1.4,3.6,0.397,0.417,1.7,2.3,0.75,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4,2019,Playoffs,11.0,0.473,0.468,0.33,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.4,0.1,0.3,0.4,0.051,-0.8,-0.1,-0.9,0.1
austin rivers,26.0,HOU,SG,10.0,0.0,21.5,2.7,6.2,0.435,1.6,3.5,0.457,1.1,2.7,0.407,0.565,0.4,0.6,0.667,0.2,1.9,2.1,1.0,0.5,0.1,0.8,3.1,7.4,2019,Playoffs,8.4,0.572,0.565,0.097,1.1,9.7,5.5,7.2,1.2,0.4,11.0,15.0,0.1,0.2,0.3,0.069,-2.5,0.4,-2.0,0.0
kevon looney,22.0,GSW,C,21.0,1.0,20.6,3.0,4.4,0.688,0.0,0.0,0.0,3.0,4.4,0.688,0.688,1.0,1.4,0.724,2.0,2.5,4.5,1.0,0.6,0.5,0.6,2.4,7.1,2019,Playoffs,16.6,0.704,0.0,0.312,11.2,13.7,12.5,6.6,1.4,2.5,10.9,12.0,1.2,0.3,1.4,0.159,0.2,0.5,0.7,0.3
danny green,31.0,TOR,SG,24.0,24.0,28.5,2.2,6.5,0.342,1.6,5.0,0.328,0.6,1.5,0.389,0.468,0.9,1.0,0.913,0.7,2.9,3.6,1.1,1.3,0.5,1.1,2.5,6.9,2019,Playoffs,7.7,0.503,0.768,0.148,2.7,11.3,7.0,5.4,2.4,1.6,13.6,12.7,-0.3,1.1,0.8,0.058,-2.2,1.5,-0.7,0.2
zach collins,21.0,POR,C,16.0,0.0,17.2,2.6,5.1,0.506,0.4,1.3,0.333,2.1,3.8,0.567,0.549,1.3,1.6,0.8,1.1,2.6,3.6,0.9,0.4,1.3,1.3,3.4,6.8,2019,Playoffs,14.4,0.592,0.259,0.309,6.5,15.8,11.2,7.9,1.3,6.4,17.9,17.7,0.2,0.3,0.5,0.09,-2.0,2.7,0.7,0.2
ersan älyasova,31.0,MIL,PF,15.0,0.0,18.1,2.3,5.4,0.432,0.8,2.7,0.3,1.5,2.7,0.561,0.506,1.3,1.7,0.8,1.3,3.4,4.7,1.4,0.7,0.4,0.5,2.7,6.8,2019,Playoffs,15.2,0.554,0.494,0.309,7.7,18.1,13.1,11.2,1.8,2.0,7.1,15.7,0.5,0.5,1.0,0.183,0.0,2.8,2.8,0.3
torrey craig,28.0,DEN,SF,14.0,11.0,23.6,2.4,4.9,0.478,1.2,2.6,0.472,1.1,2.4,0.485,0.601,0.6,1.1,0.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6,2019,Playoffs,12.2,0.605,0.522,0.232,6.6,16.5,11.5,5.1,1.1,1.2,7.3,11.1,0.6,0.2,0.8,0.113,-0.9,0.9,0.0,0.2
norman powell,25.0,TOR,SG,23.0,0.0,15.9,2.4,5.5,0.444,1.0,2.7,0.387,1.4,2.8,0.5,0.54,0.6,0.8,0.737,0.2,2.0,2.2,1.1,0.4,0.0,0.5,1.3,6.5,2019,Playoffs,12.2,0.558,0.492,0.151,1.5,13.9,7.7,11.4,1.2,0.0,8.2,18.2,0.3,0.5,0.7,0.097,-0.4,0.8,0.4,0.2
pat connaughton,26.0,MIL,SG,15.0,0.0,21.6,2.5,5.1,0.481,1.0,2.8,0.357,1.5,2.3,0.629,0.578,0.3,0.5,0.5,0.7,5.5,6.2,1.4,0.4,0.9,0.6,0.9,6.2,2019,Playoffs,13.5,0.577,0.545,0.104,3.2,24.8,14.4,9.2,0.9,3.6,10.1,11.9,0.3,0.7,1.0,0.142,0.3,2.7,3.0,0.4
boban marjanoviä,30.0,PHI,C,11.0,0.0,9.5,2.2,3.6,0.6,0.0,0.3,0.0,2.2,3.4,0.649,0.6,1.5,1.7,0.842,1.2,2.1,3.3,1.0,0.2,0.3,1.3,1.6,5.8,2019,Playoffs,21.8,0.662,0.075,0.475,14.1,22.6,18.6,17.7,0.9,2.6,22.5,25.2,0.2,0.2,0.4,0.168,0.2,0.6,0.8,0.1
seth curry,28.0,POR,SG,16.0,0.0,20.4,1.9,5.1,0.366,1.3,3.3,0.404,0.6,1.9,0.3,0.494,0.6,0.7,0.818,0.3,1.3,1.6,0.8,0.8,0.3,0.4,1.7,5.6,2019,Playoffs,8.3,0.518,0.634,0.134,1.6,6.5,4.1,5.7,1.8,1.0,7.5,12.5,0.1,0.1,0.3,0.043,-1.6,0.2,-1.4,0.1
mike scott,30.0,PHI,PF,10.0,0.0,19.3,2.1,4.7,0.447,1.2,3.4,0.353,0.9,1.3,0.692,0.574,0.2,0.2,1.0,0.4,3.0,3.4,0.5,0.3,0.0,0.7,2.2,5.6,2019,Playoffs,7.3,0.585,0.723,0.043,2.4,16.0,9.5,3.6,0.8,0.0,12.8,12.1,0.1,0.2,0.3,0.067,-2.1,-0.4,-2.5,0.0
monte morris,23.0,DEN,PG,14.0,0.0,16.0,2.4,6.1,0.384,0.0,0.9,0.0,2.4,5.2,0.452,0.384,0.6,0.9,0.692,0.2,1.1,1.4,2.6,0.4,0.1,0.4,1.1,5.4,2019,Playoffs,9.8,0.409,0.151,0.151,1.4,7.6,4.5,24.3,1.2,0.3,6.1,19.5,-0.1,0.1,0.0,-0.002,-3.6,-1.1,-4.7,-0.1
mason plumlee,28.0,DEN,C,14.0,0.0,15.6,1.7,3.4,0.511,0.0,0.1,0.0,1.7,3.3,0.522,0.511,1.1,2.0,0.571,1.9,2.6,4.4,1.5,0.5,0.7,0.6,2.8,4.6,2019,Playoffs,16.4,0.539,0.021,0.596,12.3,17.6,14.9,13.8,1.7,3.6,11.9,13.8,0.4,0.2,0.7,0.144,-1.2,1.7,0.5,0.1
quinn cook,25.0,GSW,PG,17.0,0.0,11.4,1.6,4.1,0.4,0.6,2.0,0.324,1.0,2.1,0.472,0.479,0.2,0.2,1.0,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2,2019,Playoffs,8.0,0.495,0.486,0.057,1.2,9.3,5.4,8.8,0.8,0.5,7.7,17.5,0.0,0.0,0.0,0.001,-2.7,-2.3,-5.0,-0.1
sterling brown,23.0,MIL,SG,11.0,5.0,14.7,1.4,3.5,0.395,0.6,1.9,0.333,0.7,1.5,0.471,0.487,0.7,1.0,0.727,0.4,2.4,2.7,1.7,0.5,0.3,0.7,1.5,4.1,2019,Playoffs,10.6,0.525,0.553,0.289,2.6,15.5,9.3,16.2,1.8,1.7,15.7,13.5,0.1,0.3,0.4,0.111,-2.3,2.5,0.2,0.1
shaun livingston,33.0,GSW,PG,22.0,2.0,14.6,1.5,3.4,0.453,0.0,0.1,0.0,1.5,3.3,0.466,0.453,1.0,1.1,0.84,0.5,0.9,1.4,1.4,0.5,0.2,0.4,1.6,4.0,2019,Playoffs,10.1,0.517,0.027,0.333,4.0,6.9,5.5,13.0,1.5,1.2,8.5,12.7,0.4,0.1,0.5,0.071,-2.8,0.6,-2.2,0.0
greg monroe,28.0,PHI,C,10.0,1.0,9.0,1.6,4.0,0.4,0.1,0.4,0.25,1.5,3.6,0.417,0.413,0.7,0.9,0.778,1.4,1.7,3.1,0.4,0.5,0.3,0.4,1.1,4.0,2019,Playoffs,17.0,0.455,0.1,0.225,17.8,19.5,18.7,6.9,2.7,3.0,8.3,22.6,0.0,0.2,0.2,0.11,0.4,-0.8,-0.4,0.0
gerald green,33.0,HOU,SG,11.0,0.0,8.8,1.1,3.6,0.3,0.9,2.6,0.345,0.2,1.0,0.182,0.425,0.5,0.5,1.0,0.0,1.1,1.1,0.1,0.3,0.3,0.3,1.1,3.5,2019,Playoffs,7.2,0.462,0.725,0.125,0.0,13.5,7.0,1.6,1.5,2.9,6.6,20.7,-0.1,0.1,0.0,0.009,-2.7,-0.7,-3.3,0.0
alfonzo mckinnie,26.0,GSW,SF,22.0,1.0,10.7,1.2,2.7,0.441,0.5,1.5,0.313,0.7,1.2,0.593,0.525,0.2,0.5,0.4,0.8,1.5,2.3,0.2,0.1,0.0,0.3,1.5,3.0,2019,Playoffs,7.5,0.521,0.542,0.169,8.6,15.7,12.2,2.3,0.4,0.4,8.6,12.8,0.1,0.1,0.2,0.036,-3.1,-1.8,-4.9,-0.2
jordan bell,24.0,GSW,C,15.0,2.0,7.1,1.1,2.1,0.548,0.0,0.0,0.0,1.1,2.1,0.548,0.548,0.5,0.7,0.7,0.5,0.8,1.3,0.7,0.3,0.5,0.1,0.9,2.7,2019,Playoffs,18.8,0.579,0.0,0.323,7.8,12.7,10.3,15.1,1.9,6.4,5.3,15.3,0.3,0.1,0.4,0.171,0.4,3.0,3.4,0.1
andrew bogut,34.0,GSW,C,19.0,6.0,9.4,1.3,1.9,0.649,0.0,0.0,0.0,1.3,1.9,0.649,0.649,0.2,0.3,0.8,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7,2019,Playoffs,17.4,0.663,0.0,0.135,15.2,31.9,23.8,16.4,1.4,3.3,20.3,12.0,0.5,0.2,0.7,0.183,-1.0,2.8,1.8,0.2
evan turner,30.0,POR,PG,16.0,0.0,15.3,0.9,2.9,0.326,0.1,0.1,1.0,0.9,2.8,0.311,0.337,0.8,0.9,0.8,0.8,3.7,4.5,2.2,0.2,0.2,0.8,1.4,2.7,2019,Playoffs,9.0,0.409,0.022,0.326,5.6,25.6,15.6,19.4,0.6,1.0,19.8,11.7,0.0,0.2,0.2,0.033,-3.1,0.6,-2.6,0.0
jonas jerebko,31.0,GSW,PF,16.0,0.0,7.6,0.8,2.6,0.286,0.3,1.2,0.263,0.4,1.4,0.304,0.345,0.3,0.4,0.833,0.9,1.2,2.1,0.8,0.1,0.1,0.1,0.6,2.1,2019,Playoffs,10.6,0.381,0.452,0.143,14.7,17.6,16.2,13.2,0.4,1.6,4.3,16.8,0.1,0.0,0.1,0.043,-0.7,-2.4,-3.1,0.0
tim frazier,28.0,MIL,PG,11.0,0.0,3.6,0.7,1.2,0.615,0.3,0.5,0.5,0.5,0.6,0.714,0.731,0.2,0.2,1.0,0.0,0.8,0.8,0.9,0.1,0.0,0.3,0.5,1.9,2019,Playoffs,22.9,0.756,0.462,0.154,0.0,21.8,11.3,40.5,1.2,0.0,17.8,18.2,0.2,0.1,0.2,0.284,2.5,4.1,6.6,0.1
jonah bolden,23.0,PHI,PF,10.0,0.0,7.9,0.5,1.9,0.263,0.4,1.6,0.25,0.1,0.3,0.333,0.368,0.2,0.4,0.5,0.4,1.0,1.4,0.3,0.2,0.1,0.9,1.2,1.6,2019,Playoffs,-1.0,0.385,0.842,0.211,5.8,13.0,9.6,5.0,1.2,1.1,30.2,16.0,-0.3,0.1,-0.2,-0.106,-7.7,-1.4,-9.0,-0.1
jodie meeks,31.0,TOR,SG,14.0,0.0,4.7,0.6,2.1,0.31,0.1,0.9,0.154,0.5,1.1,0.438,0.345,0.1,0.2,0.667,0.0,0.6,0.6,0.1,0.3,0.1,0.2,0.5,1.6,2019,Playoffs,3.1,0.363,0.448,0.103,0.0,15.1,7.5,2.4,3.0,1.5,9.0,23.0,-0.3,0.1,-0.1,-0.104,-7.5,0.0,-7.6,-0.1
malcolm miller,25.0,TOR,SF,10.0,0.0,2.8,0.2,0.8,0.25,0.1,0.6,0.167,0.1,0.2,0.5,0.313,0.3,0.4,0.75,0.0,0.5,0.5,0.1,0.0,0.1,0.1,0.3,0.8,2019,Playoffs,4.0,0.41,0.75,0.5,0.0,19.7,9.9,5.1,0.0,3.5,9.3,17.5,-0.1,0.0,0.0,-0.019,-5.1,-0.7,-5.8,0.0
patrick mccaw,23.0,TOR,SG,11.0,0.0,4.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.2,0.2,1.0,0.2,0.1,0.3,0.4,0.2,0.0,0.1,0.4,0.5,2019,Playoffs,5.7,0.425,0.6,0.4,4.6,2.3,3.5,11.0,2.1,0.0,14.5,6.5,0.0,0.1,0.1,0.075,-2.8,1.7,-1.1,0.0
james harden,30.0,HOU,SG,12.0,12.0,37.3,9.1,19.0,0.478,3.3,9.8,0.333,5.8,9.3,0.631,0.564,8.2,9.7,0.845,1.0,4.6,5.6,7.7,1.5,0.8,3.8,3.6,29.6,2020,Playoffs,27.5,0.636,0.513,0.509,2.8,14.4,8.3,38.8,2.0,2.2,13.9,32.4,1.7,0.7,2.4,0.253,7.5,1.9,9.4,1.3
kawhi leonard,28.0,LAC,SF,13.0,13.0,39.3,10.1,20.6,0.489,1.8,5.6,0.329,8.2,15.0,0.549,0.534,6.2,7.2,0.862,1.8,7.5,9.3,5.5,2.3,0.8,2.5,2.2,28.2,2020,Playoffs,27.8,0.593,0.272,0.351,5.2,21.4,13.2,23.9,2.9,2.1,9.6,29.3,1.6,0.8,2.4,0.228,6.4,2.9,9.4,1.5
anthony davis,26.0,LAL,PF,21.0,21.0,36.6,9.8,17.1,0.571,1.1,2.9,0.383,8.7,14.2,0.609,0.603,7.1,8.5,0.832,2.6,7.1,9.7,3.5,1.2,1.4,2.5,2.7,27.7,2020,Playoffs,29.6,0.665,0.167,0.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,0.284,6.5,2.1,8.7,2.1
lebron james,35.0,LAL,PG,21.0,21.0,36.3,10.2,18.2,0.56,2.1,5.7,0.37,8.1,12.5,0.646,0.618,5.1,7.1,0.72,1.3,9.4,10.8,8.8,1.2,0.9,4.0,1.9,27.6,2020,Playoffs,30.2,0.647,0.312,0.393,4.4,30.5,17.5,42.0,1.7,2.3,15.8,30.4,3.0,1.2,4.3,0.269,7.6,3.1,10.7,2.4
jamal murray,22.0,DEN,PG,19.0,19.0,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5,2020,Playoffs,23.7,0.626,0.372,0.212,3.2,11.3,7.3,30.0,1.2,0.8,11.6,27.6,2.5,0.2,2.7,0.174,6.1,-0.2,5.9,1.5
jayson tatum,21.0,BOS,PF,17.0,17.0,40.6,8.5,19.6,0.434,2.8,7.4,0.373,5.8,12.2,0.471,0.504,5.9,7.2,0.813,1.3,8.7,10.0,5.0,1.0,1.2,2.8,2.4,25.7,2020,Playoffs,20.7,0.563,0.377,0.368,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,0.163,4.5,1.8,6.3,1.4
nikola jokiä,24.0,DEN,C,19.0,19.0,36.5,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4,2020,Playoffs,24.8,0.614,0.286,0.23,6.4,25.5,16.0,28.6,1.5,2.1,14.1,28.9,1.9,0.6,2.5,0.172,6.1,1.3,7.4,1.7
jimmy butler,30.0,MIA,SF,21.0,21.0,38.4,6.9,14.0,0.488,0.7,2.0,0.349,6.1,12.0,0.512,0.514,7.8,9.1,0.859,2.2,4.3,6.5,6.0,2.0,0.7,2.8,1.8,22.2,2020,Playoffs,23.8,0.616,0.146,0.647,6.8,12.5,9.7,26.3,2.5,1.7,13.5,24.7,2.5,1.0,3.5,0.209,4.4,1.5,5.9,1.6
jaylen brown,23.0,BOS,SG,17.0,17.0,39.5,8.1,16.9,0.476,2.5,7.1,0.358,5.5,9.9,0.56,0.55,3.1,3.7,0.841,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,21.8,2020,Playoffs,17.1,0.586,0.417,0.219,4.2,16.5,10.6,9.9,1.9,1.3,11.5,23.7,0.7,1.1,1.8,0.13,2.2,1.1,3.3,0.9
khris middleton,28.0,MIL,SF,10.0,10.0,35.5,7.1,18.0,0.394,2.3,6.5,0.354,4.8,11.5,0.417,0.458,3.8,4.6,0.826,0.5,6.4,6.9,6.0,1.1,0.2,3.4,4.1,20.3,2020,Playoffs,13.5,0.507,0.361,0.256,1.5,19.6,10.4,27.0,1.5,0.6,14.5,28.4,-0.1,0.5,0.3,0.043,-0.4,0.4,0.0,0.2
paul george,29.0,LAC,SF,13.0,13.0,36.8,6.8,17.0,0.398,2.8,8.5,0.333,3.9,8.5,0.464,0.482,3.8,4.2,0.909,1.1,5.0,6.1,3.8,1.5,0.5,3.1,3.8,20.2,2020,Playoffs,14.7,0.536,0.502,0.249,3.2,15.3,9.2,15.5,1.9,1.4,14.0,26.1,0.1,0.5,0.6,0.063,0.4,0.0,0.4,0.3
fred vanvleet,25.0,TOR,SG,11.0,11.0,39.1,6.9,17.3,0.4,3.9,10.0,0.391,3.0,7.3,0.413,0.513,1.9,2.3,0.84,0.5,3.9,4.4,6.9,1.6,0.6,2.0,2.5,19.6,2020,Playoffs,16.4,0.537,0.579,0.132,1.2,11.0,6.0,28.4,2.0,1.7,9.9,22.9,0.4,0.8,1.2,0.134,2.9,1.9,4.7,0.7
kemba walker,29.0,BOS,PG,17.0,17.0,36.9,6.6,15.1,0.441,2.3,7.4,0.31,4.4,7.6,0.569,0.518,4.1,4.8,0.852,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,19.6,2020,Playoffs,16.9,0.573,0.492,0.316,1.1,10.8,6.2,22.5,1.2,1.1,9.9,23.0,1.1,0.8,1.9,0.148,2.6,0.4,3.0,0.8
goran dragiä,33.0,MIA,PG,17.0,16.0,32.5,7.0,15.8,0.444,2.2,6.3,0.346,4.8,9.5,0.509,0.513,2.9,3.6,0.803,0.8,3.3,4.1,4.4,1.0,0.1,2.3,2.9,19.1,2020,Playoffs,15.9,0.549,0.399,0.228,2.8,11.3,7.2,24.1,1.5,0.4,11.7,27.4,0.4,0.4,0.8,0.07,1.1,-0.8,0.3,0.3
bam adebayo,22.0,MIA,PF,19.0,19.0,36.2,6.5,11.6,0.564,0.0,0.1,0.0,6.5,11.5,0.566,0.564,4.7,6.1,0.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.1,17.8,2020,Playoffs,20.8,0.625,0.005,0.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,1.7,0.9,2.6,0.18,2.3,1.8,4.1,1.0
kyle lowry,33.0,TOR,PG,11.0,11.0,37.5,5.6,13.5,0.419,2.1,6.5,0.319,3.5,6.9,0.513,0.497,4.4,5.5,0.8,0.7,5.8,6.5,5.8,1.7,0.7,2.5,3.6,17.7,2020,Playoffs,16.1,0.559,0.486,0.405,2.0,17.1,9.4,23.9,2.2,2.1,13.8,21.6,0.4,0.8,1.3,0.146,0.9,2.6,3.5,0.5
eric gordon,31.0,HOU,SF,12.0,12.0,34.2,6.0,14.7,0.409,2.4,7.5,0.322,3.6,7.2,0.5,0.491,2.9,3.3,0.875,0.5,2.2,2.7,3.0,0.8,0.6,2.0,2.2,17.3,2020,Playoffs,12.8,0.537,0.511,0.227,1.6,7.4,4.4,14.7,1.2,1.7,11.0,23.8,0.0,0.4,0.4,0.053,-0.4,-0.6,-1.0,0.1
pascal siakam,25.0,TOR,PF,11.0,11.0,38.0,6.5,16.5,0.396,0.9,4.8,0.189,5.6,11.7,0.481,0.423,3.0,4.2,0.717,1.3,6.3,7.5,3.8,1.1,0.4,2.0,3.0,17.0,2020,Playoffs,11.0,0.462,0.291,0.253,3.5,18.2,10.7,16.0,1.4,1.0,9.8,23.7,-0.4,0.7,0.4,0.04,-2.1,0.1,-2.0,0.0
tyler herro,20.0,MIA,SG,21.0,5.0,33.6,5.7,13.2,0.433,2.3,6.1,0.375,3.4,7.1,0.483,0.52,2.2,2.6,0.87,0.3,4.8,5.1,3.7,0.4,0.1,2.0,1.5,16.0,2020,Playoffs,12.9,0.557,0.462,0.195,1.2,15.8,8.7,17.9,0.6,0.3,12.3,22.0,0.3,0.5,0.8,0.053,0.6,-0.8,-0.2,0.3
brook lopez,31.0,MIL,C,10.0,10.0,32.8,6.1,11.4,0.535,2.1,5.3,0.396,4.0,6.1,0.656,0.627,1.5,2.0,0.75,1.9,3.6,5.5,0.5,1.0,1.3,1.2,2.7,15.8,2020,Playoffs,17.1,0.643,0.465,0.175,6.1,12.0,9.0,2.4,1.5,4.3,8.9,17.7,0.6,0.5,1.0,0.149,1.8,1.4,3.2,0.4
serge ibaka,30.0,TOR,C,11.0,0.0,22.8,5.7,10.0,0.573,2.1,4.1,0.511,3.6,5.9,0.615,0.677,1.3,1.3,1.0,1.5,6.2,7.7,1.2,0.2,1.3,1.1,2.5,14.8,2020,Playoffs,25.2,0.702,0.409,0.127,7.1,29.9,18.3,9.4,0.4,6.0,9.4,22.5,0.8,0.5,1.3,0.25,5.2,2.6,7.7,0.6
marcus smart,25.0,BOS,SG,17.0,16.0,38.1,4.6,11.6,0.394,2.4,7.2,0.333,2.2,4.4,0.493,0.497,2.9,3.3,0.875,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,14.5,2020,Playoffs,11.6,0.552,0.621,0.283,1.8,13.2,7.7,18.0,1.6,1.2,16.8,18.4,0.2,1.0,1.2,0.088,-0.8,1.3,0.4,0.4
norman powell,26.0,TOR,SG,11.0,0.0,24.8,4.6,9.5,0.49,2.0,4.7,0.423,2.6,4.7,0.558,0.596,2.1,2.6,0.793,0.4,2.0,2.4,1.0,0.5,0.3,1.0,2.6,13.4,2020,Playoffs,14.5,0.629,0.5,0.279,1.5,8.9,5.1,6.6,1.1,1.2,8.6,20.6,0.4,0.4,0.8,0.136,1.0,0.5,1.5,0.2
lou williams,33.0,LAC,PG,13.0,0.0,26.2,4.8,11.2,0.425,0.9,3.9,0.235,3.8,7.3,0.526,0.466,2.3,2.8,0.811,0.5,2.6,3.2,4.2,0.8,0.2,1.6,1.4,12.8,2020,Playoffs,15.1,0.511,0.349,0.253,2.3,11.3,6.7,24.3,1.4,0.6,11.5,23.5,0.2,0.3,0.5,0.072,0.7,-0.5,0.2,0.2
jae crowder,29.0,MIA,PF,21.0,21.0,31.4,3.9,9.6,0.403,2.6,7.7,0.342,1.2,1.9,0.65,0.54,1.7,2.2,0.761,0.5,5.0,5.6,1.9,0.7,0.6,0.7,2.6,12.0,2020,Playoffs,12.2,0.57,0.801,0.229,2.0,17.9,10.2,9.0,1.1,1.8,6.3,16.2,0.6,0.7,1.3,0.095,1.0,0.0,0.9,0.5
marcus morris,30.0,LAC,PF,13.0,13.0,29.8,4.3,8.5,0.505,2.2,4.5,0.475,2.2,4.0,0.538,0.631,1.0,1.1,0.929,0.8,4.0,4.8,1.6,0.8,0.1,0.7,3.0,11.8,2020,Playoffs,14.4,0.653,0.532,0.126,3.1,15.1,9.1,7.7,1.4,0.2,7.1,14.2,0.8,0.3,1.2,0.146,1.5,1.6,3.1,0.5
duncan robinson,25.0,MIA,SG,21.0,21.0,28.6,3.6,8.4,0.426,3.0,7.4,0.397,0.6,1.0,0.65,0.602,1.6,1.8,0.868,0.2,2.5,2.8,1.8,0.7,0.3,0.8,3.1,11.7,2020,Playoffs,12.3,0.636,0.886,0.216,1.0,9.9,5.6,9.7,1.2,1.0,7.7,15.8,1.0,0.4,1.4,0.111,1.2,0.0,1.2,0.5
jerami grant,25.0,DEN,PF,19.0,16.0,34.4,3.7,9.2,0.406,1.6,5.0,0.326,2.1,4.2,0.5,0.494,2.5,2.8,0.889,0.4,2.9,3.3,1.3,0.6,0.8,1.3,3.1,11.6,2020,Playoffs,9.0,0.556,0.543,0.309,1.5,10.0,5.7,5.5,0.9,2.2,11.2,15.6,0.3,0.2,0.5,0.033,-1.7,-1.0,-2.8,-0.1
