Player,year,MIN_PER_GAME,ATTENDANCE_RATE,MAJOR_INJURY
marcus thornton,2011,24.325890410958905,0.890243902,0
mario chalmers,2011,22.561571428571426,0.853658537,0
mario west,2011,19.326388883333333,0.073170732,0
marquis daniels,2011,19.14908163265306,0.597560976,0
marreese speights,2011,11.4616927078125,0.780487805,0
martell webster,2011,23.79275363043478,0.56097561,0
marvin williams,2011,28.685384615384613,0.792682927,0
matt barnes,2011,19.242610056603773,0.646341463,0
matt bonner,2011,21.692601015151517,0.804878049,0
matt carroll,2011,10.777530864814814,0.658536585,0
maurice ager,2011,7.2495833325,0.048780488,0
maurice evans,2011,21.218013698630138,0.890243902,0
mehmet okur,2011,12.956153846153846,0.158536585,0
melvin ely,2011,12.215833333333334,0.365853659,0
metta world peace,2011,29.387235768292683,1.0,0
michael beasley,2011,32.34874428767123,0.890243902,0
michael redd,2011,13.43183333,0.12195122,0
mickael pietrus,2011,19.419122807017544,0.695121951,0
mike bibby,2011,28.5551875,0.975609756,0
mike conley,2011,35.45347737037037,0.987804878,0
mike dunleavy,2011,27.585464475409836,0.743902439,0
mike harris,2011,3.9208333325,0.048780488,0
mike miller,2011,20.430365853658536,0.5,0
mo williams,2011,30.836982758620692,0.707317073,0
monta ellis,2011,40.3334166625,0.975609756,0
morris peterson,2011,5.7333333325,0.048780488,0
mustafa shakur,2011,7.232651513636363,0.268292683,0
nate robinson,2011,17.173615813559323,0.719512195,0
nazr mohammed,2011,17.061333333333334,0.914634146,0
nenad krstic,2011,22.127699535211267,0.865853659,0
nene,2011,30.54395556,0.914634146,0
nick collison,2011,21.46098591549296,0.865853659,0
nick young,2011,31.77765625,0.780487805,0
nicolas batum,2011,31.523083337499997,0.975609756,0
nikola pekovic,2011,13.652435896923077,0.792682927,0
oj mayo,2011,26.32901408450704,0.865853659,0
omer asik,2011,12.06644308902439,1.0,0
omri casspi,2011,23.974366197183098,0.865853659,0
orien greene,2011,1.7666666666666666,0.036585366,0
othyus jeffers,2011,18.965,0.207317073,0
pape sy,2011,6.994444443333333,0.036585366,0
patrick ewing,2011,2.7361904757142854,0.085365854,0
patrick patterson,2011,16.68339743653846,0.634146341,0
patty mills,2011,12.229765625,0.780487805,0
pau gasol,2011,37.03760162195122,1.0,0
paul george,2011,20.73450819672131,0.743902439,0
paul millsap,2011,34.275635960526316,0.926829268,0
paul pierce,2011,34.675770837499996,0.975609756,0
peja stojakovic,2011,18.684141415151515,0.402439024,0
pooh jeter,2011,13.840107527419356,0.756097561,0
pops mensahbonsu,2011,5.0200000000000005,0.085365854,0
quentin richardson,2011,16.760877192982456,0.695121951,0
quincy pondexter,2011,11.114722222727274,0.804878049,0
quinton ross,2011,9.8125,0.43902439,0
raja bell,2011,30.840147058823533,0.829268293,0
rajon rondo,2011,37.15855392647059,0.829268293,0
ramon sessions,2011,26.32965020987654,0.987804878,0
randy foye,2011,24.623783063492063,0.768292683,0
rashard lewis,2011,32.00885964912281,0.695121951,0
rasual butler,2011,16.378404255319147,0.573170732,0
ray allen,2011,36.1250833375,0.975609756,0
raymond felton,2011,36.49726666666667,0.914634146,0
reggie evans,2011,26.604333333333333,0.365853659,0
reggie williams,2011,20.3283541625,0.975609756,0
renaldo balkman,2011,7.831875,0.097560976,0
richard hamilton,2011,27.2370606,0.670731707,0
richard jefferson,2011,30.352201641975313,0.987804878,0
robin lopez,2011,14.792910447761194,0.817073171,0
rodney carney,2011,12.41882715925926,0.329268293,0
rodney stuckey,2011,31.192023814285715,0.853658537,0
rodrigue beaubois,2011,17.702559525,0.341463415,0
roger mason,2011,12.26974358846154,0.317073171,0
ronald dupree,2011,4.250555556666667,0.036585366,0
ronnie brewer,2011,21.993086419753087,0.987804878,0
ronnie price,2011,12.149180791525424,0.719512195,0
ronny turiaf,2011,17.823333328125,0.780487805,0
roy hibbert,2011,27.703971197530866,0.987804878,0
royal ivey,2011,6.188333332,0.304878049,0
rudy fernandez,2011,23.34271367948718,0.951219512,0
rudy gay,2011,39.84746912962963,0.658536585,1
russell westbrook,2011,34.72414634146342,1.0,0
ryan anderson,2011,22.255755203125,0.780487805,0
ryan gomes,2011,27.568245618421052,0.926829268,0
ryan hollins,2011,16.879738099999997,0.853658537,0
sam young,2011,20.218675217948718,0.951219512,0
samardo samuels,2011,18.957207208108105,0.451219512,0
samuel dalembert,2011,24.2182708375,0.975609756,0
sasha pavlovic,2011,11.677903225806451,0.37804878,0
sasha vujacic,2011,24.58840795522388,0.817073171,0
sean marks,2011,7.188218389655172,0.353658537,0
sebastian telfair,2011,19.204864864864867,0.451219512,0
semih erden,2011,14.509308943902438,0.5,0
serge ibaka,2011,27.020833329268292,1.0,0
shane battier,2011,28.95715447560976,1.0,0
shannon brown,2011,19.125955280487805,1.0,0
shaquille oneal,2011,20.31283783783784,0.451219512,0
shaun livingston,2011,17.27043379452055,0.890243902,0
shawn marion,2011,28.1614166625,0.975609756,0
