Player,player_height,player_weight,year
lorenzo williams,205.74,104.32616,Undrafted
lou roe,200.66,99.79024,1995
loy vaught,205.74,108.86208,1990
lee mayberry,185.42,81.64656,1992
luc longley,218.44,132.448864,1991
mahmoud abdulrauf,185.42,73.481904,1990
malik rose,200.66,113.398,1996
malik sealy,203.2,90.7184,1992
marcus brown,190.5,83.91452,1996
marcus camby,210.82,99.79024,1996
mario elie,195.58,95.25432,1985
mark bradtke,208.28,120.20188,Undrafted
mark bryant,205.74,111.13004,1988
mark davis,200.66,95.25432,1995
lucious harris,195.58,92.98636,1993
lawrence moten,195.58,86.18248,1995
latrell sprewell,195.58,86.18248,1992
larry stewart,203.2,104.32616,Undrafted
keith tower,210.82,113.398,Undrafted
ken norman,203.2,97.52228,1987
kendall gill,195.58,97.975872,1990
kenny anderson,185.42,76.203456,1991
kenny smith,190.5,77.11064,1987
kerry kittles,195.58,81.19296800000001,1996
kevin duckworth,213.36,136.0776,1986
kevin edwards,190.5,95.25432,1988
kevin gamble,195.58,95.25432,1987
kevin garnett,210.82,99.79024,1995
kevin johnson,185.42,86.18248,1987
kevin salvadori,213.36,104.779752,Undrafted
kevin willis,213.36,111.13004,1984
khalid reeves,190.5,91.171992,1994
kobe bryant,200.66,90.7184,1996
kurt thomas,205.74,106.59412,1995
laphonso ellis,203.2,108.86208,1992
lasalle thompson,208.28,111.13004,1982
lamond murray,200.66,107.047712,1994
larry johnson,200.66,119.294696,1991
larry krystkowiak,205.74,99.79024,1986
mark hendrickson,205.74,99.79024,1996
mark jackson,190.5,83.91452,1987
mark price,182.88,81.64656,1986
mark strickland,208.28,99.79024,Undrafted
nick anderson,198.12,103.418976,1989
nick van exel,185.42,83.007336,1993
olden polynice,213.36,113.398,1987
oliver miller,205.74,140.61352,1992
othella harrington,205.74,106.59412,1996
otis thorpe,208.28,111.583632,1984
pj brown,210.82,108.86208,1992
patrick ewing,213.36,108.86208,1985
pervis ellison,205.74,95.25432,1989
pete chilcutt,208.28,108.86208,1991
pooh richardson,185.42,81.64656,1989
popeye jones,203.2,113.398,1992
priest lauderdale,223.52,155.582056,1996
rafael addison,203.2,109.315672,1986
randolph childress,187.96,85.275296,1995
randy brown,187.96,86.18248,1991
rasheed wallace,210.82,102.0582,1995
ray allen,195.58,92.98636,1996
ray owes,205.74,101.604608,Undrafted
reggie geary,187.96,84.821704,1996
reggie jordan,193.04,88.45044,Undrafted
nate mcmillan,195.58,90.7184,1986
karl malone,205.74,116.119552,1985
nate driggers,195.58,97.52228,Undrafted
mookie blaylock,185.42,83.91452,1989
mark west,208.28,111.583632,1983
martin lewis,198.12,102.0582,1995
martin muursepp,205.74,106.59412,1996
marty conlon,210.82,111.13004,Undrafted
matt bullard,208.28,106.59412,Undrafted
matt fish,210.82,106.59412,1992
matt geiger,215.9,111.13004,1992
matt maloney,190.5,90.7184,Undrafted
matt steigenga,200.66,102.0582,1992
melvin booker,187.96,83.91452,Undrafted
michael cage,205.74,112.490816,1984
michael curry,195.58,95.25432,Undrafted
michael finley,200.66,97.52228,1995
michael hawkins,182.88,80.73937600000001,Undrafted
michael jordan,198.12,97.975872,1984
michael smith,203.2,104.32616,1994
mike brown,208.28,117.93392,1985
mitch richmond,195.58,97.52228,1988
mitchell butler,195.58,95.25432,Undrafted
monty williams,203.2,102.0582,1994
moochie norris,187.96,85.275296,1996
muggsy bogues,160.02,63.956472,1987
brent scott,208.28,113.398,Undrafted
lloyd daniels,200.66,92.98636,Undrafted
tony massenburg,205.74,113.398,1990
antonio mcdyess,205.74,99.79024,1995
armen gilliam,205.74,117.93392,1987
arvydas sabonis,220.98,132.448864,1986
ashraf amaya,203.2,104.32616,Undrafted
avery johnson,180.34,81.64656,Undrafted
bj armstrong,187.96,79.3786,1989
ben davis,205.74,108.86208,1996
ben wallace,205.74,108.86208,Undrafted
benoit benjamin,213.36,113.398,1985
antonio lang,203.2,104.32616,1994
bill wennington,213.36,111.13004,1985
bimbo coles,187.96,82.553744,1990
bison dele,210.82,117.93392,1991
blue edwards,193.04,103.418976,1989
bo outlaw,203.2,95.25432,Undrafted
bob sura,195.58,90.7184,1995
bobby hurley,182.88,74.84268,1993
bobby phills,195.58,99.79024,1991
brad lohaus,210.82,104.32616,1987
brent price,185.42,83.91452,1992
billy owens,205.74,102.0582,1991
antonio harvey,210.82,102.0582,Undrafted
brent barry,198.12,88.45044,1995
antoine walker,205.74,101.604608,1996
ac green,205.74,102.0582,1985
aaron mckie,195.58,94.800728,1994
aaron williams,205.74,102.0582,Undrafted
acie earl,210.82,108.86208,1993
adam keefe,205.74,109.315672,1992
adrian caldwell,203.2,120.20188,Undrafted
antonio davis,205.74,104.32616,1990
aleksandar djordjevic,187.96,89.811216,Undrafted
allan houston,198.12,90.7184,1993
allen iverson,182.88,74.84268,1996
alan henderson,205.74,106.59412,1995
alton lister,213.36,111.13004,1981
antoine carr,205.74,115.66596,1983
alonzo mourning,208.28,118.38751200000002,1992
anthony miller,205.74,115.66596,1994
anthony mason,203.2,113.398,1988
anthony goldwire,187.96,82.553744,1994
anthony peeler,193.04,94.347136,1992
andrew lang,210.82,124.7378,1988
andrew declercq,208.28,104.32616,1995
amal mccaskill,210.82,106.59412,1996
anfernee hardaway,200.66,97.52228,1993
nick van exel,185.42,86.18248,1993
nick anderson,198.12,103.418976,1989
nate mcmillan,195.58,95.25432,1986
muggsy bogues,160.02,63.956472,1987
mookie blaylock,185.42,83.91452,1989
monty williams,203.2,102.0582,1994
mitchell butler,195.58,95.25432,Undrafted
mitch richmond,195.58,97.52228,1988
micheal williams,187.96,79.3786,1988
matt geiger,215.9,111.13004,1992
michael smith,203.2,104.32616,1994
michael mcdonald,208.28,105.233344,1995
michael jordan,198.12,97.975872,1984
michael finley,200.66,97.52228,1995
michael curry,195.58,102.965384,Undrafted
michael cage,205.74,112.490816,1984
maurice taylor,205.74,117.93392,1997
matt maloney,190.5,90.7184,Undrafted
olden polynice,213.36,113.398,1987
matt bullard,208.28,106.59412,Undrafted
michael stewart,208.28,104.32616,Undrafted
oliver miller,205.74,147.4174,1992
randy livingston,193.04,95.25432,1996
otis thorpe,208.28,111.583632,1984
rick fox,200.66,109.769264,1991
marty conlon,210.82,111.13004,Undrafted
rick brunson,193.04,88.45044,Undrafted
rex walters,193.04,86.18248,1993
rex chapman,193.04,88.45044,1988
reggie slater,200.66,115.66596,Undrafted
reggie miller,200.66,83.91452,1987
reggie jordan,193.04,88.45044,Undrafted
reggie hanson,203.2,88.45044,1998
reggie geary,187.96,84.821704,1996
ray allen,195.58,92.98636,1996
rasheed wallace,210.82,102.0582,1995
randy brown,187.96,86.636072,1991
priest lauderdale,223.52,147.4174,1996
popeye jones,203.2,120.20188,1992
pooh richardson,185.42,81.64656,1989
pete myers,198.12,81.64656,1986
pete chilcutt,208.28,108.86208,1991
pervis ellison,205.74,95.25432,1989
patrick ewing,213.36,115.66596,1985
pj brown,210.82,108.86208,1992
othella harrington,205.74,106.59412,1996
martin muursepp,205.74,106.59412,1996
lee mayberry,185.42,81.64656,1992
mark west,208.28,111.583632,1983
latrell sprewell,195.58,86.18248,1992
larry robinson,190.5,81.64656,Undrafted
larry johnson,200.66,119.294696,1991
lamond murray,200.66,107.047712,1994
laphonso ellis,203.2,108.86208,1992
kurt thomas,205.74,104.32616,1995
kobe bryant,200.66,95.25432,1996
kiwane garris,187.96,83.007336,Undrafted
khalid reeves,190.5,91.171992,1994
kevin willis,213.36,111.13004,1984
kevin salvadori,213.36,104.779752,Undrafted
kevin ollie,193.04,88.45044,Undrafted
kevin johnson,185.42,86.18248,1987
kevin garnett,210.82,99.79024,1995
kevin edwards,190.5,86.18248,1988
kerry kittles,195.58,81.19296800000001,1996
kenny anderson,185.42,76.203456,1991
kendall gill,195.58,97.975872,1990
kelvin cato,210.82,115.66596,1997
keith van horn,208.28,99.79024,1997
keith closs,220.98,96.161504,Undrafted
lawrence funderburke,205.74,104.32616,1994
marko milic,198.12,106.59412,1997
lawrence moten,195.58,83.91452,1995
rick mahorn,208.28,117.93392,1980
mark strickland,208.28,99.79024,Undrafted
mark price,182.88,81.64656,1986
mark pope,208.28,106.59412,1996
mark jackson,190.5,83.91452,1987
mark hendrickson,205.74,99.79024,1996
mark davis,200.66,95.25432,1995
mark bryant,205.74,111.13004,1988
mario elie,195.58,95.25432,1985
mario bennett,205.74,106.59412,1995
marcus camby,210.82,99.79024,1996
malik sealy,203.2,90.7184,1992
malik rose,200.66,113.398,1996
mahmoud abdulrauf,185.42,73.481904,1990
lucious harris,195.58,92.98636,1993
luc longley,218.44,132.448864,1991
loy vaught,205.74,104.32616,1990
lorenzo williams,205.74,90.7184,Undrafted
lorenzen wright,210.82,108.86208,1996
lloyd daniels,200.66,92.98636,Undrafted
litterial green,185.42,88.45044,1992
lindsey hunter,187.96,88.45044,1993
ledell eackles,195.58,104.779752,1988
ricky pierce,193.04,97.52228,1982
sean higgins,205.74,92.98636,1990
robert horry,208.28,99.79024,1992
tracy murray,200.66,103.418976,1992
tracy mcgrady,203.2,95.25432,1997
tony smith,190.5,83.91452,1990
tony massenburg,205.74,113.398,1990
tony farmer,205.74,111.13004,Undrafted
tony dumas,198.12,86.18248,1994
tony delk,187.96,87.089664,1996
tony battie,210.82,108.86208,1997
toni kukoc,210.82,105.233344,1990
travis best,180.34,82.553744,1995
tom hammonds,205.74,102.0582,1989
tom chambers,208.28,99.79024,1981
todd fuller,210.82,115.66596,1996
todd day,198.12,85.275296,1992
tim thomas,208.28,104.32616,1997
tim legler,193.04,90.7184,Undrafted
tim kempton,208.28,111.13004,1986
tim hardaway,182.88,88.45044,1989
tim duncan,213.36,112.490816,1997
tim breaux,200.66,97.52228,Undrafted
tom gugliotta,208.28,108.86208,1992
travis knight,213.36,106.59412,1996
travis williams,200.66,113.398,Undrafted
troy hudson,185.42,80.73937600000001,Undrafted
chuck person,203.2,106.59412,1986
zydrunas ilgauskas,220.98,117.93392,1996
zan tabak,213.36,111.13004,1991
yinka dare,213.36,120.20188,1994
xavier mcdaniel,200.66,92.98636,1985
willie burton,203.2,95.25432,1990
