Player,year,is_retained,age,has_playoff_exp,2P%_reg,2PA_reg,2P_reg,3P%_reg,3PA_reg,3PAr_reg,3P_reg,AST%_reg,AST_reg,BLK%_reg,BLK_reg,BPM_reg,DBPM_reg,DRB%_reg,DRB_reg,DWS_reg,FG%_reg,FGA_reg,FG_reg,FT%_reg,FTA_reg,FT_reg,FTr_reg,GS_reg,G_reg,MP_reg,OBPM_reg,ORB%_reg,ORB_reg,OWS_reg,PER_reg,PF_reg,PTS_reg,STL%_reg,STL_reg,TOV%_reg,TOV_reg,TRB%_reg,TRB_reg,TS%_reg,USG%_reg,VORP_reg,WS/48_reg,WS_reg,eFG%_reg,2P%_playoff,2PA_playoff,2P_playoff,3P%_playoff,3PA_playoff,3PAr_playoff,3P_playoff,AST%_playoff,AST_playoff,BLK%_playoff,BLK_playoff,BPM_playoff,DBPM_playoff,DRB%_playoff,DRB_playoff,DWS_playoff,FG%_playoff,FGA_playoff,FG_playoff,FT%_playoff,FTA_playoff,FT_playoff,FTr_playoff,GS_playoff,G_playoff,MP_playoff,OBPM_playoff,ORB%_playoff,ORB_playoff,OWS_playoff,PER_playoff,PF_playoff,PTS_playoff,STL%_playoff,STL_playoff,TOV%_playoff,TOV_playoff,TRB%_playoff,TRB_playoff,TS%_playoff,USG%_playoff,VORP_playoff,WS/48_playoff,WS_playoff,eFG%_playoff,VORP_Elevation,BPM_Elevation,Playoff_MP_Ratio,Cap_Pct,YRS
cody zeller,2017,1,24.0,0,0.5397000000000001,6.49,3.57,0.23,0.03,0.0085,0.0,8.620000000000001,1.4200000000000002,2.89,0.8800000000000001,-0.0499999999999999,1.13,18.58,4.35,2.35,0.5364,6.55,3.57,0.7205,3.08,2.17,0.4683,56.0,65.3,25.99,-1.18,8.219999999999999,1.99,3.1,16.0,2.84,9.28,1.62,0.84,11.25,0.97,13.330000000000002,6.27,0.5855999999999999,15.49,0.87,0.1538,5.449999999999999,0.5368999999999999,0.5397000000000001,6.49,3.57,0.23,0.03,0.0085,0.0,8.620000000000001,1.4200000000000002,2.89,0.8800000000000001,-0.0499999999999999,1.13,18.58,4.35,2.35,0.5364,6.55,3.57,0.7205,3.08,2.17,0.4683,56.0,65.3,25.99,-1.18,8.219999999999999,1.99,3.1,16.0,2.84,9.28,1.62,0.84,11.25,0.97,13.330000000000002,6.27,0.5855999999999999,15.49,0.87,0.1538,5.449999999999999,0.5368999999999999,0.0,0.0,0.5,0.127,4
russell westbrook,2018,1,29.0,0,0.4808,16.3,7.840000000000001,0.3111,5.07,0.2337,1.61,52.01,10.35,0.69,0.3299999999999999,8.04,1.75,25.11,8.0,4.43,0.4427999999999999,21.37,9.45,0.7844,8.11,6.4,0.3772999999999999,80.3,80.3,35.46,6.29,5.64,1.82,7.3,27.05,2.44,26.88,2.52,1.78,16.33,4.88,15.260000000000002,9.82,0.539,35.879999999999995,7.2,0.1992,11.78,0.4790999999999999,0.4808,16.3,7.840000000000001,0.3111,5.07,0.2337,1.61,52.01,10.35,0.69,0.3299999999999999,8.04,1.75,25.11,8.0,4.43,0.4427999999999999,21.37,9.45,0.7844,8.11,6.4,0.3772999999999999,80.3,80.3,35.46,6.29,5.64,1.82,7.3,27.05,2.44,26.88,2.52,1.78,16.33,4.88,15.260000000000002,9.82,0.539,35.879999999999995,7.2,0.1992,11.78,0.4790999999999999,0.0,0.0,0.5,0.35,5
andrew wiggins,2018,1,22.0,0,0.4766,13.25,6.34,0.3323,3.56,0.2146,1.23,9.3,2.09,1.25,0.54,-1.97,-2.01,9.54,3.0,1.21,0.4464,16.88,7.489999999999999,0.7017,5.279999999999999,3.81,0.3119,81.8,81.8,36.33,-0.01,3.55,1.12,1.92,14.75,2.06,20.07,1.45,1.05,9.34,1.98,6.5200000000000005,4.12,0.5213000000000001,25.84,0.01,0.0501,3.13,0.4819,0.4766,13.25,6.34,0.3323,3.56,0.2146,1.23,9.3,2.09,1.25,0.54,-1.97,-2.01,9.54,3.0,1.21,0.4464,16.88,7.489999999999999,0.7017,5.279999999999999,3.81,0.3119,81.8,81.8,36.33,-0.01,3.55,1.12,1.92,14.75,2.06,20.07,1.45,1.05,9.34,1.98,6.5200000000000005,4.12,0.5213000000000001,25.84,0.01,0.0501,3.13,0.4819,0.0,0.0,0.5,0.25,5
gary harris,2018,1,23.0,0,0.5525,7.1,3.87,0.3948,5.08,0.4145999999999999,2.0,12.48,2.7,0.4599999999999999,0.17,0.43,-0.41,7.34,2.18,1.2,0.4869,12.18,5.92,0.8103,2.28,1.82,0.1868,64.5,65.8,33.010000000000005,0.83,2.28,0.6799999999999999,3.68,15.74,1.76,15.68,2.27,1.52,10.46,1.55,4.8,2.81,0.595,19.22,1.35,0.11,4.93,0.5684,0.5525,7.1,3.87,0.3948,5.08,0.4145999999999999,2.0,12.48,2.7,0.4599999999999999,0.17,0.43,-0.41,7.34,2.18,1.2,0.4869,12.18,5.92,0.8103,2.28,1.82,0.1868,64.5,65.8,33.010000000000005,0.83,2.28,0.6799999999999999,3.68,15.74,1.76,15.68,2.27,1.52,10.46,1.55,4.8,2.81,0.595,19.22,1.35,0.11,4.93,0.5684,0.0,0.0,0.5,0.1621,4
tj warren,2018,1,24.0,0,0.5236000000000001,12.32,6.43,0.2705,1.45,0.1103,0.39,6.78,1.16,1.44,0.54,-0.63,-1.19,10.62,2.94,0.8500000000000001,0.4977,13.77,6.82,0.751,2.92,2.24,0.2057,51.0,61.7,30.36,0.53,6.14,1.7599999999999998,2.54,16.62,2.36,16.32,1.63,1.02,6.460000000000001,1.06,8.35,4.699999999999999,0.542,22.19,0.64,0.0875,3.37,0.5134000000000001,0.5236000000000001,12.32,6.43,0.2705,1.45,0.1103,0.39,6.78,1.16,1.44,0.54,-0.63,-1.19,10.62,2.94,0.8500000000000001,0.4977,13.77,6.82,0.751,2.92,2.24,0.2057,51.0,61.7,30.36,0.53,6.14,1.7599999999999998,2.54,16.62,2.36,16.32,1.63,1.02,6.460000000000001,1.06,8.35,4.699999999999999,0.542,22.19,0.64,0.0875,3.37,0.5134000000000001,0.0,0.0,0.5,0.1153,4
robert covington,2018,1,27.0,0,0.4841,3.92,1.91,0.355,6.720000000000001,0.6333,2.35,8.28,1.73,2.3,0.87,0.63,1.29,17.299999999999997,4.94,3.63,0.4032,10.64,4.29,0.8312999999999999,2.15,1.8,0.2027,69.9,73.5,31.01,-0.68,3.3600000000000003,0.97,0.78,13.05,3.1,12.73,2.71,1.74,13.38,1.82,10.39,5.91,0.5503,18.66,1.58,0.0892999999999999,4.38,0.5154,0.4841,3.92,1.91,0.355,6.720000000000001,0.6333,2.35,8.28,1.73,2.3,0.87,0.63,1.29,17.299999999999997,4.94,3.63,0.4032,10.64,4.29,0.8312999999999999,2.15,1.8,0.2027,69.9,73.5,31.01,-0.68,3.3600000000000003,0.97,0.78,13.05,3.1,12.73,2.71,1.74,13.38,1.82,10.39,5.91,0.5503,18.66,1.58,0.0892999999999999,4.38,0.5154,0.0,0.0,0.5,0.1027,4
josh richardson,2018,1,24.0,0,0.4699,5.62,2.68,0.3802,3.78,0.4072,1.42,12.35,2.51,2.11,0.76,-0.06,1.06,8.96,2.4400000000000004,2.56,0.4341,9.4,4.07,0.7896,1.59,1.24,0.1714,51.1,66.8,30.01,-1.12,2.6100000000000003,0.74,1.25,12.29,2.42,10.83,2.06,1.22,11.73,1.35,5.84,3.13,0.5372,16.9,1.12,0.0896,3.86,0.5116,0.4699,5.62,2.68,0.3802,3.78,0.4072,1.42,12.35,2.51,2.11,0.76,-0.06,1.06,8.96,2.4400000000000004,2.56,0.4341,9.4,4.07,0.7896,1.59,1.24,0.1714,51.1,66.8,30.01,-1.12,2.6100000000000003,0.74,1.25,12.29,2.42,10.83,2.06,1.22,11.73,1.35,5.84,3.13,0.5372,16.9,1.12,0.0896,3.86,0.5116,0.0,0.0,0.5,0.092,4
norman powell,2018,1,24.0,0,0.4994,3.25,1.63,0.3205,2.4000000000000004,0.4289,0.75,10.77,1.1800000000000002,1.09,0.2,-1.66,0.19,11.95,1.7,1.2,0.42,5.6,2.35,0.8103,1.15,0.94,0.1924,19.2,67.6,15.96,-1.88,1.93,0.25,0.2599999999999999,11.11,1.55,6.39,1.84,0.58,12.7,0.8600000000000001,7.01,1.97,0.5198,19.34,0.06,0.0636,1.4600000000000002,0.4876,0.4994,3.25,1.63,0.3205,2.4000000000000004,0.4289,0.75,10.77,1.1800000000000002,1.09,0.2,-1.66,0.19,11.95,1.7,1.2,0.42,5.6,2.35,0.8103,1.15,0.94,0.1924,19.2,67.6,15.96,-1.88,1.93,0.25,0.2599999999999999,11.11,1.55,6.39,1.84,0.58,12.7,0.8600000000000001,7.01,1.97,0.5198,19.34,0.06,0.0636,1.4600000000000002,0.4876,0.0,0.0,0.5,0.092,4
james harden,2019,1,29.0,1,0.5293,10.6,5.640000000000001,0.3635,11.46,0.5175000000000001,4.15,43.42,8.629999999999999,1.56,0.6599999999999999,10.21,1.46,17.64,5.74,3.76,0.4437,22.06,9.76,0.8663,10.71,9.3,0.4901,76.8,76.8,36.3,8.75,2.49,0.8200000000000001,11.48,29.72,2.78,32.99,2.47,1.84,15.68,4.96,10.02,6.54,0.6163000000000001,37.92,8.56,0.2627,15.22,0.5378000000000001,0.5032,11.35,5.67,0.3203,11.41,0.5007,3.71,35.96,7.04,1.7600000000000002,0.73,7.88,1.59,15.32,5.28,0.74,0.4121,22.74,9.38,0.8602,8.89,7.66,0.3946,12.8,12.8,37.6,6.29,2.38,0.76,0.97,24.67,3.4400000000000004,30.08,2.85,2.14,14.54,4.52,8.97,6.0600000000000005,0.5645,36.82,1.21,0.1713,1.69,0.4926,-7.3500000000000005,-2.330000000000001,0.1472200469851214,0.35,4
john wall,2019,1,28.0,0,0.4803,12.64,6.08,0.3277,4.58,0.266,1.47,42.33,9.37,2.22,0.9,2.29,-0.83,10.23,3.21,1.4,0.4382,17.22,7.550000000000001,0.7264999999999999,5.88,4.27,0.3402,43.9,43.9,34.849999999999994,3.0700000000000003,1.77,0.56,1.77,19.37,2.08,20.79,2.1900000000000004,1.57,16.39,3.89,5.949999999999999,3.75,0.5262,29.25,1.9,0.0829,3.1700000000000004,0.4812,0.4803,12.64,6.08,0.3277,4.58,0.266,1.47,42.33,9.37,2.22,0.9,2.29,-0.83,10.23,3.21,1.4,0.4382,17.22,7.550000000000001,0.7264999999999999,5.88,4.27,0.3402,43.9,43.9,34.849999999999994,3.0700000000000003,1.77,0.56,1.77,19.37,2.08,20.79,2.1900000000000004,1.57,16.39,3.89,5.949999999999999,3.75,0.5262,29.25,1.9,0.0829,3.1700000000000004,0.4812,0.0,0.0,0.5,0.35,4
devin booker,2019,1,22.0,0,0.4954,12.91,6.390000000000001,0.3505,6.42,0.3308,2.24,27.630000000000003,5.49,0.55,0.25,0.39,-2.21,11.12,3.47,0.4499999999999999,0.4477,19.31,8.68,0.8628,6.52,5.609999999999999,0.3362,63.8,63.8,34.85,2.58,1.76,0.5700000000000001,2.48,18.450000000000003,3.1,25.19,1.22,0.9000000000000001,14.45,3.75,6.35,4.04,0.5665,31.68,1.29,0.0639,2.87,0.5058,0.4954,12.91,6.390000000000001,0.3505,6.42,0.3308,2.24,27.630000000000003,5.49,0.55,0.25,0.39,-2.21,11.12,3.47,0.4499999999999999,0.4477,19.31,8.68,0.8628,6.52,5.609999999999999,0.3362,63.8,63.8,34.85,2.58,1.76,0.5700000000000001,2.48,18.450000000000003,3.1,25.19,1.22,0.9000000000000001,14.45,3.75,6.35,4.04,0.5665,31.68,1.29,0.0639,2.87,0.5058,0.0,0.0,0.5,0.25,5
karlanthony towns,2019,1,23.0,0,0.5729,12.43,7.09,0.3997,4.029999999999999,0.2451,1.59,14.48,2.96,3.73,1.48,5.47,0.22,29.48,9.06,3.18,0.5309,16.44,8.7,0.8417999999999999,5.41,4.57,0.3317,79.5,79.5,34.629999999999995,5.2700000000000005,10.48,3.29,8.76,25.8,3.53,23.61,1.16,0.8300000000000001,12.26,2.64,19.88,12.35,0.6284000000000001,26.82,5.15,0.2077,11.94,0.58,0.5729,12.43,7.09,0.3997,4.029999999999999,0.2451,1.59,14.48,2.96,3.73,1.48,5.47,0.22,29.48,9.06,3.18,0.5309,16.44,8.7,0.8417999999999999,5.41,4.57,0.3317,79.5,79.5,34.629999999999995,5.2700000000000005,10.48,3.29,8.76,25.8,3.53,23.61,1.16,0.8300000000000001,12.26,2.64,19.88,12.35,0.6284000000000001,26.82,5.15,0.2077,11.94,0.58,0.0,0.0,0.5,0.25,5
